reason, arrival, departure
Vocational Education and Training sector,"13,146","12,129"
Higher education sector,"74,378","33,427"
Student other,"24,692","9,495"
Temporary work skilled,"32,248","16,423"
Visitor,"61,269","16,781"
Working Holiday,"47,708","22,461"
Other temporary visas,"9,450","25,751"
Family,"29,525","5,724"
Skill,"37,984","8,062"
Special Eligibility and humanitarian,"11,841",140
Other permanent visas,"5,958","6,639"
New Zealand Citizen (subclass 444),"37,692","22,213"
Australian Citizen,"77,310","85,159"
Other,"9,531","9,735"
