reason,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Vocational Education and Training sector,"13,146",,,,,,,,,,
Higher education sector,"74,378",,,,,,,,,,
Student other,"24,692",,,,,,,,,,
Temporary work skilled,"32,248",,,,,,,,,,
Visitor,"61,269",,,,,,,,,,
Working Holiday,"47,708",,,,,,,,,,
Other temporary visas,"9,450",,,,,,,,,,
Join Family,"29,525",,,,,,,,,,
Skills,"37,984",,,,,,,,,,
Special Eligibility and humanitarian,"11,841",,,,,,,,,,
Other permanent visas,"5,958",,,,,,,,,,
New Zealand Citizen,"37,692",,,,,,,,,,
Australian Citizen,"77,310",,,,,,,,,,
Other,"9,531",,,,,,,,,,
